date,Domestic Aviation,Ground Transport,Industry,Power,Residential,西班牙
2019-05-10,0.02,0.27,0.16,0.12,0.07,0.64
2019-05-11,0.01,0.17,0.16,0.12,0.07,0.54
2019-05-12,0.02,0.13,0.11,0.08,0.07,0.41
2019-05-13,0.02,0.26,0.16,0.12,0.07,0.63
2019-05-14,0.02,0.26,0.2,0.15,0.07,0.7
2019-05-15,0.02,0.25,0.2,0.15,0.07,0.69
2019-05-16,0.02,0.27,0.19,0.14,0.07,0.69
2019-05-17,0.02,0.27,0.14,0.1,0.1,0.62
2019-05-18,0.01,0.17,0.16,0.12,0.1,0.57
2019-05-19,0.02,0.12,0.17,0.13,0.1,0.52
2019-05-20,0.02,0.26,0.22,0.17,0.09,0.75
2019-05-21,0.01,0.26,0.23,0.17,0.07,0.75
2019-05-22,0.02,0.26,0.24,0.18,0.07,0.77
2019-05-23,0.02,0.27,0.23,0.18,0.07,0.76
2019-05-24,0.02,0.27,0.18,0.14,0.08,0.69
2019-05-25,0.01,0.17,0.15,0.11,0.07,0.51
2019-05-26,0.02,0.12,0.14,0.11,0.07,0.45
2019-05-27,0.02,0.26,0.2,0.15,0.07,0.69
2019-05-28,0.02,0.25,0.19,0.14,0.07,0.67
2019-05-29,0.02,0.26,0.19,0.14,0.07,0.68
2019-05-30,0.02,0.27,0.22,0.17,0.06,0.73
2019-05-31,0.02,0.27,0.23,0.17,0.06,0.75
2019-06-01,0.02,0.18,0.18,0.16,0.06,0.59
2019-06-02,0.02,0.13,0.17,0.15,0.06,0.53
2019-06-03,0.02,0.26,0.21,0.19,0.06,0.74
2019-06-04,0.02,0.25,0.2,0.18,0.07,0.7
2019-06-05,0.02,0.26,0.18,0.16,0.08,0.7
2019-06-06,0.02,0.27,0.16,0.14,0.08,0.66
2019-06-07,0.02,0.26,0.16,0.15,0.08,0.66
2019-06-08,0.01,0.18,0.16,0.15,0.07,0.57
2019-06-09,0.02,0.13,0.14,0.13,0.07,0.48
2019-06-10,0.02,0.26,0.15,0.13,0.07,0.63
2019-06-11,0.02,0.25,0.15,0.14,0.09,0.64
2019-06-12,0.02,0.26,0.17,0.16,0.08,0.69
2019-06-13,0.02,0.27,0.17,0.15,0.07,0.68
2019-06-14,0.02,0.26,0.17,0.16,0.07,0.68
2019-06-15,0.02,0.18,0.16,0.14,0.07,0.56
2019-06-16,0.02,0.13,0.15,0.14,0.07,0.5
2019-06-17,0.02,0.26,0.2,0.18,0.06,0.73
2019-06-18,0.02,0.25,0.16,0.15,0.06,0.64
2019-06-19,0.02,0.26,0.2,0.18,0.06,0.72
2019-06-20,0.02,0.27,0.19,0.17,0.07,0.71
2019-06-21,0.02,0.26,0.19,0.17,0.07,0.71
2019-06-22,0.02,0.18,0.17,0.15,0.06,0.57
2019-06-23,0.02,0.13,0.13,0.12,0.06,0.46
2019-06-24,0.02,0.26,0.19,0.17,0.06,0.7
2019-06-25,0.02,0.25,0.21,0.19,0.06,0.74
2019-06-26,0.02,0.26,0.19,0.17,0.06,0.7
2019-06-27,0.02,0.27,0.2,0.18,0.06,0.72
2019-06-28,0.02,0.26,0.23,0.2,0.06,0.77
2019-06-29,0.02,0.18,0.2,0.18,0.06,0.64
2019-06-30,0.02,0.13,0.17,0.15,0.06,0.53
2019-07-01,0.02,0.26,0.17,0.19,0.06,0.7
2019-07-02,0.02,0.25,0.17,0.2,0.06,0.7
2019-07-03,0.02,0.26,0.17,0.2,0.06,0.72
2019-07-04,0.02,0.27,0.18,0.21,0.06,0.73
2019-07-05,0.02,0.26,0.18,0.21,0.06,0.74
2019-07-06,0.02,0.18,0.16,0.19,0.06,0.6
2019-07-07,0.02,0.13,0.14,0.16,0.06,0.51
2019-07-08,0.02,0.26,0.16,0.19,0.06,0.69
2019-07-09,0.02,0.25,0.17,0.19,0.06,0.69
2019-07-10,0.02,0.26,0.18,0.21,0.06,0.73
2019-07-11,0.02,0.27,0.19,0.22,0.06,0.75
2019-07-12,0.02,0.26,0.19,0.23,0.06,0.76
2019-07-13,0.02,0.18,0.15,0.17,0.06,0.58
2019-07-14,0.02,0.13,0.12,0.14,0.06,0.47
